K,n,block_time,dense_time,max_residual
3,100,0.00063725,0.082906208,4.757470830855277e-15
3,250,0.002221792,0.605139834,4.757470830855277e-15
3,500,0.005927521,3.1104732085,4.757470830855277e-15
3,750,0.0114737705,9.067785334,6.7919980836374695e-15
3,1000,0.021533708,20.545079166,7.154696162511531e-15
3,1500,0.048901875,60.772219792,7.154696162511531e-15
3,2000,0.082129125,138.6144155,8.201230092437405e-15
