K,n,block_time,dense_time,max_residual
3,100,0.0005898955,0.0683087915,4.757470830855277e-15
3,250,0.002238792,0.5194814585,4.757470830855277e-15
3,500,0.00677675,2.639876312,4.757470830855277e-15
3,750,0.014095333,8.087638417,6.7919980836374695e-15
3,1000,0.026612792,17.740289417,7.154696162511531e-15
3,1500,0.056344041,50.896908375,7.154696162511531e-15
3,2000,0.097787708,116.723469042,8.201230092437405e-15
