K,n,block_time,dense_time,max_residual
3,100,0.000602479,0.070909375,4.757470830855277e-15
3,250,0.003478625,0.532397458,4.757470830855277e-15
3,500,0.013241917,2.6399605625,4.757470830855277e-15
3,750,0.0269038535,7.999334084,6.7919980836374695e-15
3,1000,0.0487846455,17.814230834,7.154696162511531e-15
3,1500,0.096363104,51.001900041,7.154696162511531e-15
3,2000,0.193365,116.710793,8.201230092437405e-15
